original_path,output_path,articleurl,status,footer_used
lohri-festival\lohri-special-food.html,lohri-festival\what-to-eat-on-lohri.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
lohri-festival\lohri-traditional-sweets-recipes.html,lohri-festival\lohri-recipes.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
lohri-festival\lohri-wishes-26.html,lohri-festival\26-unique-lohri-wishes.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
lohri-festival\office-lohri.html,lohri-festival\ideas-to-celebrate-lohri-in-office.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
lohri-festival\traditional-lohri-songs.html,lohri-festival\popular-lohri-songs.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
lohri-festival\traditonal-lohri-foods.html,lohri-festival\special-lohri-foods.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
pongal\makarsankranti-pongal.html,pongal\makarsankranti-pongal.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
pongal\pongal-cards.html,pongal\pongal-cards.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
pongal\pongal-festival.html,pongal\pongal-festival.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
pongal\pongal-tradition.html,pongal\pongal-tradition.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
pongal\pongal-wishes.html,pongal\pongal-wishes.html,yes,merged,c:\e\a3_input\makarsankranti.net\input\footer_black.htm
